    Finished `test` profile [unoptimized] target(s) in 0.18s
     Running unittests src/lib.rs (/workspace/target/debug/deps/atuin_common-8cf6c9c650a85a28)

running 989 tests
test docs::tests::this_build_resolves_to_a_published_version ... ok
test docs::tests::version_segment_maps_release_to_docs_segment::case_3_stable_major_bump ... ok
test docs::tests::urls_are_absolute_and_versioned ... ok
test docs::tests::version_segment_maps_release_to_docs_segment::case_4_stable_large ... ok
test docs::tests::version_segment_maps_release_to_docs_segment::case_6_prerelease_beta_older ... ok
test docs::tests::version_segment_maps_release_to_docs_segment::case_1_stable_patch_zero ... ok
test docs::tests::version_segment_maps_release_to_docs_segment::case_5_prerelease_beta ... ok
test docs::tests::version_segment_maps_release_to_docs_segment::case_2_stable_patch_one ... ok
test docs::tests::version_segment_maps_release_to_docs_segment::case_7_prerelease_rc ... ok
test encryption::paseto_v4::test::decode_blank_key_is_error_not_panic::case_1_empty ... ok
test encryption::paseto_v4::test::decode_blank_key_is_error_not_panic::case_2_whitespace ... ok
test encryption::paseto_v4::test::decodes_supported_key_encoding::case_2_canonical ... ok
test encryption::paseto_v4::test::decodes_supported_key_encoding::case_1_legacy_v11 ... ok
test encryption::paseto_v4::test::encrypted_data_wire_format_is_stable ... ok
test filter::tests::all_filter_contains_everything ... ok
test filter::tests::all_filter_has_no_items ... ok
test filter::tests::compare_with_a_non_all_filter::case_3 ... ok
test filter::tests::compare_with_a_non_all_filter::case_4 ... ok
test filter::tests::compare_with_a_non_all_filter::case_6 ... ok
test encryption::paseto_v4::test::key_encodes_to_canonical_form ... ok
test filter::tests::compare_with_a_non_all_filter::case_5 ... ok
test filter::tests::compare_with_a_non_all_filter::case_1 ... ok
test filter::tests::compare_with_an_all_filter::case_1 ... ok
test filter::tests::compare_with_a_non_all_filter::case_2 ... ok
test filter::tests::compare_with_a_non_all_filter::case_7 ... ok
test filter::tests::compare_with_an_all_filter::case_2 ... ok
test filter::tests::compare_with_an_all_filter::case_3 ... ok
test filter::tests::contains_only_listed_items::case_1 ... ok
test filter::tests::contains_only_listed_items::case_2 ... ok
test filter::tests::contains_only_listed_items::case_3 ... ok
test filter::tests::contains_only_listed_items::case_4 ... ok
test filter::tests::contains_only_listed_items::case_5 ... ok
test filter::tests::contains_only_listed_items::case_6 ... ok
test filter::tests::from_list_of_a_mut_slice_sorts_and_dedupes::case_1 ... ok
test filter::tests::from_list_of_a_mut_slice_sorts_and_dedupes::case_2 ... ok
test filter::tests::from_list_of_a_mut_slice_sorts_and_dedupes::case_4 ... ok
test filter::tests::from_list_of_a_mut_slice_sorts_and_dedupes::case_3 ... ok
test filter::tests::from_list_of_a_mut_slice_sorts_and_dedupes::case_5 ... ok
test filter::tests::from_list_of_none_is_an_all_filter ... ok
test filter::tests::from_list_rejects_an_empty_list ... ok
test filter::tests::from_list_sorts_and_dedupes ... ok
test encryption::paseto_v4::test::try_write_path_leaves_no_temporary_files ... ok
test filter::tests::into_list_returns_the_sorted_items ... ok
test encryption::paseto_v4::test::overwrite_path_replaces_an_existing_key ... ok
test futures::stream::tests::chunks_match_expected::case_1_empty ... ok
test futures::stream::tests::chunks_match_expected::case_2_single ... ok
test futures::stream::tests::chunks_match_expected::case_3_max_one_splits_every_item ... ok
test futures::stream::tests::chunks_match_expected::case_4_alternating_keys ... ok
test futures::stream::tests::chunks_match_expected::case_5_run_exactly_max ... ok
test futures::stream::tests::chunks_match_expected::case_7_mixed ... ok
test futures::stream::tests::chunks_match_expected::case_6_run_longer_than_max ... ok
test futures::stream::tests::groups_by_key_not_value ... ok
test path::display_rich::tests::base_output_matches_path_display::case_1 ... ok
test path::display_rich::tests::base_output_matches_path_display::case_2 ... ok
test path::display_rich::tests::composes_with_trailing_slash::case_1_tilde ... ok
test path::display_rich::tests::composes_with_trailing_slash::case_2_tilde_home_root_is_idempotent ... ok
test path::display_rich::tests::composes_with_trailing_slash::case_3_relative_to_base_itself ... ok
test path::display_rich::tests::relative_to_rendering::case_1_strips_prefix ... ok
test path::display_rich::tests::relative_to_rendering::case_2_base_itself_is_empty ... ok
test path::display_rich::tests::relative_to_rendering::case_3_passes_through_when_not_under_base ... ok
test path::display_rich::tests::relative_to_takes_priority_over_tilde ... ok
test path::display_rich::tests::tilde_rendering::case_1_abbreviates_home ... ok
test path::display_rich::tests::tilde_rendering::case_2_home_root_is_tilde_separator ... ok
test path::display_rich::tests::tilde_rendering::case_3_passes_through_when_not_under_home ... ok
test path::display_rich::tests::trailing_slash_rendering::case_1_appends_when_missing ... ok
test path::display_rich::tests::trailing_slash_rendering::case_2_idempotent_when_terminated ... ok
test path::display_rich::tests::trailing_slash_rendering::case_3_disabled_is_base ... ok
test path::display_rich::tests::trailing_slash_rendering::case_4_empty_becomes_bare_separator ... ok
test path::display_rich::tests::works_for_all_asref_path_types ... ok
test range::chunks::tests::chunks_a_range_with_a_clamped_tail::case_1_clamped_tail ... ok
test range::chunks::tests::chunks_a_range_with_a_clamped_tail::case_2_exact_multiple ... ok
test range::chunks::tests::chunks_a_range_with_a_clamped_tail::case_3_size_exceeds_range ... ok
test range::chunks::tests::chunks_a_range_with_a_clamped_tail::case_4_offset_start ... ok
test range::chunks::tests::chunks_a_range_with_a_clamped_tail::case_5_empty_range ... ok
test range::chunks::tests::chunks_a_range_with_a_clamped_tail::case_6_zero_width_falls_back_to_one ... ok
test range::chunks::tests::exposes_its_bounds_and_stride ... ok
test range::chunks::tests::is_generic_over_the_index_type ... ok
test range::py_style::tests::resolve_for_empty_slice_never_panics::case_1_everything ... ok
test range::py_style::tests::resolve_for_empty_slice_never_panics::case_2_last_line ... ok
test range::py_style::tests::resolve_for_empty_slice_never_panics::case_3_positive ... ok
test range::py_style::tests::resolve_for_is_always_sliceable::case_01_in_bounds ... ok
test range::py_style::tests::resolve_for_is_always_sliceable::case_02_single_line ... ok
test range::py_style::tests::resolve_for_is_always_sliceable::case_03_last_line_no_sentinel ... ok
test range::py_style::tests::resolve_for_is_always_sliceable::case_04_whole_via_negative_end ... ok
test range::py_style::tests::resolve_for_is_always_sliceable::case_05_negative_from_end ... ok
test range::py_style::tests::resolve_for_is_always_sliceable::case_06_more_than_available_clamps ... ok
test range::py_style::tests::resolve_for_is_always_sliceable::case_07_clamped_past_end ... ok
test range::py_style::tests::resolve_for_is_always_sliceable::case_08_backwards_resolves_empty ... ok
test range::py_style::tests::resolve_for_is_always_sliceable::case_09_negative_backwards_resolves_empty ... ok
test range::py_style::tests::resolve_for_is_always_sliceable::case_10_end_before_the_slice ... ok
test range::py_style::tests::resolve_for_is_always_sliceable::case_11_end_before_the_slice_from_within ... ok
test range::py_style::tests::resolve_for_is_always_sliceable::case_12_both_bounds_before_the_slice ... ok
test range::py_style::tests::resolve_for_split_empty_halves_never_panic::case_1_everything ... ok
test range::py_style::tests::resolve_for_split_empty_halves_never_panic::case_2_positive ... ok
test range::py_style::tests::resolve_for_split_empty_halves_never_panic::case_3_negative ... ok
test range::py_style::tests::resolve_for_split_empty_halves_never_panic::case_4_spanning ... ok
test range::py_style::tests::resolve_for_split_empty_halves_never_panic::case_5_extremes ... ok
test range::py_style::tests::resolve_for_split_empty_halves_never_panic::case_6_reversed_extremes ... ok
test filter::tests::an_all_filter_contains_everything ... ok
test range::py_style::tests::resolve_for_split_matches_resolve_for_when_nothing_is_missing ... ok
test range::py_style::tests::resolve_for_split_picks_from_both_halves::case_01_first_line ... ok
test range::py_style::tests::resolve_for_split_picks_from_both_halves::case_02_within_the_start ... ok
test range::py_style::tests::resolve_for_split_picks_from_both_halves::case_03_exactly_the_start ... ok
test range::py_style::tests::resolve_for_split_picks_from_both_halves::case_04_just_past_the_start ... ok
test range::py_style::tests::resolve_for_split_picks_from_both_halves::case_05_wholly_inside_the_gap ... ok
test range::py_style::tests::resolve_for_split_picks_from_both_halves::case_06_backwards_is_empty ... ok
test range::py_style::tests::resolve_for_split_picks_from_both_halves::case_07_last_line ... ok
test range::py_style::tests::resolve_for_split_picks_from_both_halves::case_08_exactly_the_end ... ok
test range::py_style::tests::resolve_for_split_picks_from_both_halves::case_09_just_past_the_end ... ok
